Class,x,y
1,0.304287,0.803231
1,0.297302,0.752635
1,0.195247,0.78041
1,0.305516,0.805048
1,0.218613,0.808221
1,0.238146,0.766679
1,0.200495,0.819673
1,0.300611,0.759926
1,0.220645,0.837787
1,0.21614,0.768746
1,0.187958,0.761051
1,0.192732,0.714294
1,0.128908,0.692871
1,0.0635942,0.784495
1,0.196931,0.80208
2,0.732432,0.770392
2,0.754446,0.677004
2,0.761861,0.660696
2,0.75202,0.862938
2,0.771188,0.73806
2,0.810378,0.766531
2,0.7656,0.751178
2,0.769646,0.685226
2,0.809608,0.759684
2,0.848764,0.719892
2,0.793717,0.809738
2,0.792103,0.661332
2,0.846584,0.743216
2,0.76835,0.838539
2,0.721129,0.790384
2,0.67477,0.831478
2,0.717235,0.738414
3,0.18655,0.243119
3,0.188052,0.113785
3,0.216186,0.156568
3,0.109508,0.173254
3,0.237815,0.269989
3,0.201271,0.227649
3,0.25443,0.177778
3,0.274236,0.20499
3,0.173617,0.187627
3,0.190459,0.199176
3,0.22883,0.187021
3,0.216864,0.14851
3,0.166464,0.259752
3,0.205313,0.20695
3,0.279584,0.242251
3,0.213984,0.196327
3,0.222823,0.0646196
3,0.236467,0.0750916
3,0.210607,0.147692
3,0.2741,0.154847
4,0.784097,0.156981
4,0.768417,0.278757
4,0.665513,0.166369
4,0.676937,0.215329
4,0.782812,0.24017
4,0.830156,0.200455
4,0.776534,0.113684
4,0.745185,0.246924
4,0.804725,0.181171
4,0.829239,0.244043
4,0.860273,0.212248
4,0.755955,0.29423
4,0.93001,0.0832153
4,0.815176,0.120479
4,0.94779,0.0718019
4,0.921345,0.212731
4,0.83583,0.28173
4,0.886514,0.223348
4,0.792613,0.189579
4,0.805104,0.0878888
4,0.864726,0.108641
4,0.815174,0.293868
4,0.76436,0.195206
4,0.777054,0.216122
4,0.903874,0.151155
