"Class","x","y"
3,0.186606,0.442562
4,0.399489,0.0913845
2,0.816021,0.58949
4,0.691628,0.177381
3,0.15786,0.508484
1,0.432613,0.743924
1,0.303414,0.823965
2,0.901313,0.436963
3,0.0692664,0.337485
2,0.816559,0.629854
2,0.867276,0.571659
1,0.267932,0.810358
2,0.780387,0.419572
2,0.853298,0.458496
4,0.591049,0.150598
1,0.256535,0.815837
4,0.501626,0.104469
3,0.2416,0.404537
3,0.179728,0.438463
3,0.0798782,0.44393
4,0.603096,0.172105
2,0.836428,0.506946
3,0.163646,0.411746
4,0.51508,0.0637659
1,0.307752,0.79617
1,0.412684,0.764444
1,0.280019,0.797563
4,0.571308,0.108342
2,0.900329,0.612233
4,0.671478,0.122756
3,0.213807,0.376909
1,0.365268,0.751611
1,0.268716,0.777171
2,0.723635,0.549576
4,0.474209,0.179016
4,0.556866,0.191649
2,0.928601,0.533011
4,0.570817,0.111699
2,0.793557,0.527781
4,0.557188,0.234325
4,0.394182,0.111627
3,0.134359,0.381402
4,0.625132,0.217108
1,0.321893,0.728298
1,0.318552,0.835927
4,0.549699,0.116785
1,0.24342,0.855022
4,0.43871,0.0666908
4,0.499216,0.195896
1,0.213292,0.844092
2,0.816102,0.57847
1,0.216085,0.733564
2,0.801752,0.67698
3,0.206112,0.50184
3,0.210679,0.315563
2,0.892112,0.513847
4,0.577031,0.196629
3,0.124456,0.388868
1,0.281625,0.790368
2,0.809639,0.580552
1,0.331074,0.838157
4,0.557707,0.237295
1,0.362884,0.808903
4,0.474303,0.13623
1,0.392139,0.791718
1,0.264966,0.804409
2,0.745193,0.545177
1,0.283022,0.829996
2,0.810705,0.540112
3,0.178984,0.340235
4,0.472762,0.204214
1,0.311334,0.847576
3,0.211226,0.493495
4,0.575329,0.199819
4,0.560508,0.0977795
2,0.684397,0.61014
1,0.195094,0.809665
1,0.356933,0.801854
2,0.898544,0.495411
3,0.129627,0.350186
4,0.557826,0.0874011
1,0.332764,0.745524
4,0.514163,0.0808941
2,0.82309,0.574268
1,0.315347,0.831567
2,0.711807,0.486431
2,0.803086,0.559469
3,0.105151,0.478695
4,0.558241,0.139685
1,0.246089,0.813844
2,0.765998,0.714455
1,0.361543,0.775091
4,0.54895,0.180515
2,0.765912,0.507211
3,0.140623,0.281386
3,0.217267,0.347703
3,0.27025,0.37867
1,0.425646,0.837848
4,0.369194,0.129382
1,0.295621,0.851484
2,0.776326,0.54401
1,0.403581,0.794451
4,0.606817,0.250654
3,0.213155,0.273239
1,0.241593,0.785409
3,0.2987,0.440574
2,0.868052,0.482709
2,0.673628,0.520927
4,0.518659,0.129578
3,0.138763,0.323822
2,0.824785,0.595389
3,0.236468,0.388474
4,0.574138,0.132196
3,0.170417,0.438838
2,0.8364,0.469877
3,0.138452,0.401326
2,0.762722,0.470372
3,0.285979,0.3774
2,0.884736,0.617301
1,0.222231,0.796263
1,0.279731,0.79448
3,0.113829,0.507684
4,0.464852,0.196275
1,0.358921,0.781938
1,0.211606,0.780251
3,0.134778,0.426959
4,0.527843,0.121639
4,0.417215,0.144716
2,0.860434,0.518321
4,0.397664,0.0734125
1,0.371072,0.887831
3,0.164238,0.438368
1,0.247944,0.786359
1,0.448672,0.765432
2,0.777765,0.61876
4,0.636139,0.170936
2,0.94312,0.479347
1,0.24914,0.849624
4,0.494971,0.139475
1,0.371432,0.793559
1,0.235104,0.787897
4,0.681553,0.222074
3,0.166178,0.465126
1,0.222253,0.83309
4,0.454566,0.225941
3,0.210965,0.355527
3,0.24515,0.371779
3,0.154255,0.526205
3,0.162628,0.367234
4,0.58249,0.238528
4,0.529435,0.12181
4,0.597906,0.0634366
2,0.795168,0.503669
2,0.813901,0.547966
2,0.786105,0.602278
2,0.923237,0.418722
1,0.299046,0.792421
1,0.255157,0.744226
3,0.219575,0.454249
4,0.336483,0.0897349
1,0.316835,0.757355
2,0.832474,0.544647
3,0.166684,0.35762
4,0.582721,0.200691
4,0.474899,0.191471
3,0.217348,0.311231
2,0.803073,0.5323
3,0.217447,0.365586
2,0.879921,0.601549
1,0.225095,0.773698
4,0.460165,0.200519
3,0.00686651,0.362195
1,0.261487,0.864539
2,0.775464,0.626768
3,0.15193,0.291322
3,0.23544,0.461226
1,0.285922,0.884465
4,0.608775,0.13403
3,0.142118,0.382825
2,0.815372,0.56922
1,0.305781,0.692491
4,0.446148,0.140068
1,0.3348,0.820767
4,0.602933,0.10174
1,0.244698,0.811456
2,0.783795,0.490264
2,0.765825,0.630443
4,0.341508,0.200894
3,0.27855,0.488578
4,0.596156,0.179196
1,0.396359,0.782973
1,0.367782,0.85361
1,0.265933,0.768977
2,0.752071,0.627164
1,0.253177,0.799678
1,0.415873,0.803023
4,0.482633,0.0691274
1,0.281396,0.726198
2,0.855065,0.455209
3,0.160602,0.338338
3,0.173194,0.363485
1,0.251696,0.83178
2,0.725587,0.656936
2,0.87824,0.531189
1,0.234877,0.846763
2,0.824579,0.567277
1,0.272517,0.774257
4,0.537996,0.281467
1,0.263199,0.882138
1,0.255014,0.829682
3,0.17379,0.400836
4,0.478492,0.209179
2,0.874479,0.574425
1,0.289458,0.798873
4,0.429094,0.12146
3,0.153878,0.375163
2,0.847534,0.54624
1,0.355557,0.797975
2,0.851454,0.540562
4,0.437341,0.109776
3,0.197024,0.488122
1,0.265319,0.851741
3,0.249527,0.330706
1,0.442917,0.779872
4,0.415907,0.163829
2,0.718992,0.675734
2,0.854991,0.615232
3,0.23567,0.422912
4,0.561626,0.147363
3,0.162131,0.408668
3,0.171766,0.406167
1,0.277698,0.779497
3,0.102693,0.515191
3,0.0964996,0.532277
1,0.313524,0.751245
1,0.444019,0.774796
3,0.199282,0.397595
