Class,x,y
1,-5.564,-9.207
1,-5.947,-7.947
1,-5.272,-9.887
1,-5.739,-9.269
1,-6.291,-8.818
1,-6.021,-8.062
1,-5.517,-8.810
1,-5.605,-8.580
1,-4.827,-8.825
1,-5.460,-9.140
1,-7.159,-8.091
1,-4.884,-8.878
1,-3.882,-9.233
1,-5.175,-8.336
1,-4.121,-7.193
1,-4.879,-7.787
1,-5.425,-9.184
1,-4.970,-7.737
1,-3.858,-6.980
1,-4.768,-7.836
1,-5.072,-8.447
1,-5.375,-6.220
1,-4.505,-7.635
1,-4.861,-6.770
1,-4.976,-7.301
1,-4.408,-6.826
1,-4.051,-7.722
1,-3.632,-6.609
1,-3.459,-6.593
1,-3.789,-6.918
1,-3.699,-6.821
1,-3.675,-7.590
1,-2.935,-6.656
1,-3.964,-6.014
1,-3.394,-6.178
1,-2.245,-6.034
1,-1.872,-6.801
1,-2.225,-6.358
1,-2.916,-6.195
1,-2.449,-5.698
1,-2.875,-5.068
1,-1.731,-6.514
1,-0.970,-4.248
1,-1.052,-5.465
1,-2.362,-4.589
1,-1.826,-4.387
1,-1.326,-4.447
1,-1.118,-4.522
1,-1.224,-3.744
1,-1.037,-4.524
1,0.188,-5.535
1,-1.693,-3.974
1,-1.518,-3.262
1,-0.924,-4.868
1,0.667,-3.364
1,0.746,-3.631
1,-0.867,-2.901
1,-0.378,-3.506
1,0.504,-4.016
1,0.407,-3.239
1,0.370,-4.422
1,0.434,-2.792
1,-0.080,-3.630
1,0.198,-2.270
1,1.011,-3.087
1,0.213,-2.908
1,0.387,-3.133
1,0.525,-2.630
1,1.405,-3.094
1,1.404,-3.558
1,0.324,-2.493
1,1.486,-2.274
1,3.002,-1.983
1,1.031,-1.778
1,0.889,-2.681
1,1.792,-1.210
1,1.478,-2.720
1,2.000,-2.522
1,2.888,-2.690
1,1.564,-2.188
1,2.088,-0.595
1,3.117,-1.665
1,1.855,-1.090
1,2.111,-2.506
1,3.608,-1.233
1,3.553,-1.136
1,3.626,-1.654
1,2.543,-0.716
1,2.803,-1.487
1,3.137,-0.945
1,3.314,-1.730
1,3.245,-2.171
1,4.161,-1.682
1,3.180,-0.540
1,3.525,0.498
1,3.288,-0.213
1,4.195,-1.025
1,4.664,-0.300
1,4.935,0.425
1,5.928,0.845
2,-2.233,3.849
2,-1.165,4.364
2,-1.316,2.876
2,-1.597,3.382
2,-1.265,3.736
2,-0.727,3.948
2,-0.666,3.402
2,-1.622,3.387
2,-0.896,3.836
2,0.683,3.519
2,-1.211,3.276
2,-0.760,3.749
2,-1.302,3.434
2,-0.089,3.490
2,-0.426,3.142
2,-0.810,2.930
2,-0.113,3.455
2,-0.362,3.635
2,1.454,1.782
2,0.918,3.469
2,0.385,2.739
2,0.843,2.751
2,0.871,1.829
2,1.935,3.521
2,0.831,1.860
2,1.814,2.373
2,1.714,2.485
2,2.201,3.076
2,1.444,1.711
2,1.041,2.921
2,1.430,2.164
2,1.944,2.401
2,1.236,2.503
2,2.931,2.389
2,2.543,2.344
2,3.131,0.479
2,4.255,2.429
2,2.745,1.884
2,3.609,2.007
2,2.152,3.336
2,3.506,2.625
2,3.277,2.901
2,4.036,2.264
2,3.333,2.594
2,4.570,2.601
2,3.875,1.423
2,5.869,1.006
2,4.466,2.345
2,4.753,1.944
2,4.578,1.759
2,4.143,2.523
2,5.034,0.994
2,5.670,1.082
2,4.544,0.471
2,5.966,1.172
2,5.582,1.904
2,5.093,0.710
2,5.702,1.181
2,6.058,0.889
2,6.185,0.952
2,5.909,0.456
2,6.677,0.356
2,5.910,0.671
2,6.682,2.245
2,6.476,1.364
2,7.533,-0.035
2,7.689,-0.082
2,5.658,1.000
2,6.368,0.851
2,7.186,1.565
2,8.433,0.178
2,7.462,-0.354
2,7.757,0.186
2,7.945,0.412
2,8.681,0.484
2,7.971,-0.697
2,9.457,-0.274
2,8.321,-0.219
2,7.707,-0.242
2,8.709,0.402
2,9.593,-0.038
2,9.880,0.124
2,9.420,-0.040
2,9.449,-0.442
2,9.540,-0.956
2,10.026,-0.921
2,10.520,-0.501
2,10.159,-0.082
2,10.674,-1.438
2,10.275,0.062
2,9.471,-0.301
2,9.258,-1.243
2,10.849,-1.694
2,10.340,-1.628
2,12.145,-0.644
2,11.601,-0.939
2,11.158,-1.871
2,11.337,-1.381
2,12.203,-0.228
2,12.728,-0.461
3,-2.479,-4.706
3,-1.636,-3.623
3,-3.261,-3.472
3,-1.648,-3.508
3,-2.302,-3.905
3,-3.121,-2.736
3,-2.423,-3.239
3,-1.153,-2.506
3,-2.035,-2.698
3,-1.330,-1.549
3,-1.724,-2.117
3,-3.658,-2.255
3,-2.437,-2.122
3,-1.779,-3.763
3,-2.757,-1.708
3,-2.713,-2.623
3,-1.890,-1.401
3,-3.075,-1.225
3,-1.962,-1.269
3,-1.997,-1.072
3,-2.774,-1.703
3,-2.600,-0.695
3,-2.013,-0.739
3,-2.299,-1.125
3,-3.104,-0.433
3,-3.297,0.307
3,-2.359,0.116
3,-2.458,1.369
3,-2.990,-1.150
3,-2.589,0.362
3,-3.064,-0.074
3,-3.035,0.812
3,-3.097,2.374
3,-3.407,0.498
3,-4.269,1.311
3,-4.118,0.962
3,-3.038,1.006
3,-1.785,2.235
3,-2.072,1.199
3,-2.213,2.223
3,-2.461,2.712
3,-3.544,1.944
3,-2.445,0.684
3,-2.055,2.865
3,-3.062,2.806
3,-3.706,2.597
3,-2.380,3.791
3,-1.392,3.074
3,-3.535,2.947
3,-3.783,3.375
3,-2.919,3.554
3,-2.488,3.579
3,-3.423,3.511
3,-4.257,3.039
3,-3.991,5.005
3,-2.700,5.203
3,-4.130,3.240
3,-3.727,4.748
3,-3.015,5.451
3,-3.172,6.042
3,-3.514,4.513
3,-4.457,4.680
3,-3.262,4.832
3,-2.844,6.439
3,-4.956,6.243
3,-4.895,6.102
3,-2.725,6.041
3,-4.331,5.781
3,-3.708,6.188
3,-3.692,6.385
3,-3.450,5.842
3,-3.759,7.718
3,-3.871,6.628
3,-2.967,5.442
3,-2.923,6.812
3,-3.587,7.425
3,-3.116,7.346
3,-4.162,8.487
3,-5.250,7.831
3,-4.628,7.488
3,-2.525,8.093
3,-3.695,7.146
3,-4.300,8.549
3,-3.636,8.966
3,-3.876,9.061
3,-3.616,7.722
3,-3.901,9.516
3,-3.572,8.952
3,-4.476,8.626
3,-4.071,10.201
3,-5.244,9.219
3,-4.751,10.284
3,-4.402,9.642
3,-4.210,10.373
3,-4.342,8.316
3,-3.772,10.672
3,-4.275,9.860
3,-3.935,10.937
3,-4.476,10.711
3,-4.788,10.887
